Data,Abrir,Alto,Baixo,Fechar,Adj Fechar,Volume
6 de janeiro de 2026,"190,52","192,17","186,82","187,24","187,24",176.862.500
5 de janeiro de 2026,"191,76","193,63","186,15","188,12","188,12",183.529.700
2 de janeiro de 2026,"189,84","192,93","188,26","188,85","188,85",148.240.500
31 de dezembro de 2025,"189,57","190,56","186,49","186,5","186,5",120.100.500
30 de dezembro de 2025,"188,24","188,99","186,93","187,54","187,54",97.687.300
29 de dezembro de 2025,"187,71","188,76","185,91","188,22","188,22",120.006.100
26 de dezembro de 2025,"189,92","192,69",188,"190,53","190,53",139.740.300
24 de dezembro de 2025,"187,94","188,91","186,59","188,61","188,61",65.528.500
23 de dezembro de 2025,"182,97","189,33","182,9","189,21","189,21",174.873.600
22 de dezembro de 2025,"183,92","184,16","182,35","183,69","183,69",129.064.400
19 de dezembro de 2025,"176,67","181,45","176,34","180,99","180,99",324.925.900
18 de dezembro de 2025,"174,53","176,15","171,82","174,14","174,14",176.096.000
17 de dezembro de 2025,"176,1","176,13","170,31","170,94","170,94",222.775.500
16 de dezembro de 2025,"175,26","178,49","174,9","177,72","177,72",148.588.100
15 de dezembro de 2025,"177,94","178,42","175,03","176,29","176,29",164.775.600
12 de dezembro de 2025,"181,11","182,82","174,62","175,02","175,02",204.274.900
11 de dezembro de 2025,"180,28","181,32","176,62","180,93","180,93",182.136.600
10 de dezembro de 2025,"184,97","185,48","182,04","183,78","183,78",162.785.400
9 de dezembro de 2025,"185,56","185,72","183,32","184,97","184,97",144.719.700
8 de dezembro de 2025,"182,64",188,"182,4","185,55","185,55",204.378.100
5 de dezembro de 2025,"183,89","184,66","180,91","182,41","182,41",143.971.100
4 de dez. de 2025,,,"0,01 Dividendo",,,
4 de dezembro de 2025,"181,62","184,52","179,96","183,38","183,38",167.364.900
3 de dezembro de 2025,"181,08","182,45","179,11","179,59","179,58",165.138.000
2 de dezembro de 2025,"181,76","185,66",180,"181,46","181,45",182.632.200
1 de dezembro de 2025,"174,76","180,3","173,68","179,92","179,91",188.131.000
28 de novembro de 2025,"179,01","179,29","176,5",177,"176,99",121.332.800
26 de novembro de 2025,"181,63","182,91","178,24","180,26","180,25",183.852.000
25 de novembro de 2025,"174,91","178,16","169,55","177,82","177,81",320.600.300
24 de novembro de 2025,"179,49","183,5","176,48","182,55","182,54",256.618.300
21 de novembro de 2025,"181,24","184,56","172,93","178,88","178,87",346.926.200
20 de novembro de 2025,"195,95",196,"179,85","180,64","180,63",343.504.800
19 de novembro de 2025,"184,79","187,86","182,83","186,52","186,51",247.246.400
18 de novembro de 2025,"183,38","184,8","179,65","181,36","181,35",213.598.900
17 de novembro de 2025,"185,97",189,"184,32","186,6","186,59",173.628.900
14 de novembro de 2025,"182,86","191,01","180,58","190,17","190,16",186.591.900
13 de novembro de 2025,"191,05","191,44","183,85","186,86","186,85",207.423.100
12 de novembro de 2025,"195,72","195,89","191,13","193,8","193,79",154.935.300
11 de novembro de 2025,"195,16","195,42","191,3","193,16","193,15",175.483.300
10 de novembro de 2025,"195,11","199,94","193,79","199,05","199,04",198.897.100
7 de novembro de 2025,"184,9","188,32","178,91","188,15","188,14",254.942.300
6 de novembro de 2025,"196,42","197,62","186,38","188,08","188,07",223.029.800
5 de novembro de 2025,"198,77","202,92","194,65","195,21","195,2",171.350.300
4 de novembro de 2025,203,"203,97","197,93","198,69","198,68",188.919.300
3 de novembro de 2025,"208,08","211,34","205,56","206,88","206,87",180.267.300
31 de outubro de 2025,"206,45","207,97","202,07","202,49","202,48",179.802.200
30 de outubro de 2025,"205,15","206,16","201,41","202,89","202,88",178.864.400
29 de outubro de 2025,"207,98","212,19","204,78","207,04","207,03",308.829.600
28 de outubro de 2025,"193,05","203,15","191,91","201,03","201,02",297.986.200
27 de outubro de 2025,"189,99",192,"188,43","191,49","191,48",153.452.700
24 de outubro de 2025,"183,84","187,47","183,5","186,26","186,25",131.296.700
23 de outubro de 2025,"180,42","183,03","179,79","182,16","182,15",111.383.700
22 de outubro de 2025,"181,14","183,44","176,76","180,28","180,27",162.249.600
21 de outubro de 2025,"182,79","182,79","179,8","181,16","181,15",124.240.200
20 de outubro de 2025,"183,13","185,2","181,73","182,64","182,63",128.544.700
17 de outubro de 2025,"180,18","184,1","179,75","183,22","183,21",173.135.200
16 de outubro de 2025,"182,23","183,28","179,77","181,81","181,8",179.723.300
15 de outubro de 2025,"184,8","184,87","177,29","179,83","179,82",214.450.500
14 de outubro de 2025,"184,77","184,8","179,7","180,03","180,02",205.641.400
13 de outubro de 2025,"187,97","190,11","185,96","188,32","188,31",153.482.800
10 de outubro de 2025,"193,51","195,62","182,05","183,16","183,15",268.774.400
9 de outubro de 2025,"192,23","195,3","191,06","192,57","192,56",182.997.200
8 de outubro de 2025,"186,57","189,6","186,54","189,11","189,1",130.168.900
7 de outubro de 2025,"186,23","189,06",184,"185,04","185,03",140.088.000
6 de outubro de 2025,"185,5","187,23","183,33","185,54","185,53",157.678.100
3 de outubro de 2025,"189,19","190,36","185,38","187,62","187,61",137.596.900
2 de outubro de 2025,"189,6","191,05","188,06","188,89","188,88",136.805.800
1 de outubro de 2025,"185,24","188,14","183,9","187,24","187,23",173.844.900
30 de setembro de 2025,"182,08","187,35","181,48","186,58","186,57",236.981.000
29 de setembro de 2025,"180,43",184,"180,32","181,85","181,84",193.063.500
26 de setembro de 2025,"178,17","179,77","174,93","178,19","178,18",148.573.700
25 de setembro de 2025,"174,48","180,26","173,13","177,69","177,68",191.586.700
24 de setembro de 2025,"179,77","179,78","175,4","176,97","176,96",143.564.100
23 de setembro de 2025,"181,97","182,42","176,21","178,43","178,42",192.559.600
22 de setembro de 2025,"175,3","184,55","174,71","183,61","183,6",269.637.000
19 de setembro de 2025,"175,77","178,08","175,18","176,67","176,66",237.182.100
18 de setembro de 2025,"173,98","177,1","172,96","176,24","176,23",191.763.300
17 de setembro de 2025,"172,64","173,2","168,41","170,29","170,28",211.843.800
16 de setembro de 2025,177,"177,5","174,38","174,88","174,87",140.737.800
15 de setembro de 2025,"175,67","178,85","174,51","177,75","177,74",147.061.600
12 de setembro de 2025,"177,77","178,6","176,45","177,82","177,81",124.911.000
11 de set. de 2025,,,"0,01 Dividendo",,,
11 de setembro de 2025,"179,68","180,28","176,48","177,17","177,16",151.159.300
10 de setembro de 2025,"176,64","179,29","175,47","177,33","177,31",226.852.000
